SampleID	Chamber	Soil	Wash	Genotype	Parentalline	Planted	Treatment	Fraction	Incubationtime	Replicate	Library	Microbe	Condition	Condition_microbe	Microbe_planted	Changed_chamber	Changed_soil	Changed_both	Changed_genotype
8month.75	Italian	Italian	Swedish	Unplanted	Unplanted	Unplanted	Fourth	Soil	8months	3	7	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Unplanted	yes	yes	yes	yes
8month.77	Italian	Swedish	Italian	Unplanted	Unplanted	Unplanted	Fourth	Soil	8months	2	7	Italian	Changed_soil	Changed_soil_Italian	Italian_Unplanted	no	yes	no	yes
8month.82	Italian	Swedish	Italian	Unplanted	Unplanted	Unplanted	Fourth	Soil	8months	3	7	Italian	Changed_soil	Changed_soil_Italian	Italian_Unplanted	no	yes	no	yes
8month.91	Swedish	Italian	Swedish	Italian	Deadplant	Planted	Fourth	Soil	8months	2	7	Swedish	Changed_soil	Changed_soil_Swedish	Swedish_Unplanted	no	yes	no	yes
after.incub.Ita.Treat.1	None	Italian	None	None	None	None	First	Soil	2weeks	1	1	Italian	Test	Test_Italian	Italian_None	no	no	no	no
after.incub.Ita.Treat.3	None	Italian	Swedish	None	None	None	Third	Soil	2weeks	1	1	Swedish	Test_changed_soil	Test_changed_soil_Swedish	Swedish_None	no	no	no	yes
after.incub.Ita.Treat.4	None	Italian	Italian	None	None	None	Fourth	Soil	2weeks	1	1	Italian	Test_repopulated	Test_repopulated_Italian	Italian_None	no	no	no	yes
after.incub.Swe4.Treat.1	None	Swedish	None	None	None	None	First	Soil	2weeks	1	1	Swedish	Test	Test_Swedish	Swedish_None	no	no	no	no
after.incub.Swe4.Treat.3	None	Swedish	Swedish	None	None	None	Third	Soil	2weeks	1	1	Swedish	Test_repopulated	Test_repopulated_Swedish	Swedish_None	no	no	no	yes
after.incub.Swe4.Treat.4	None	Swedish	Italian	None	None	None	Fourth	Soil	2weeks	1	1	Italian	Test_changed_soil	Test_changed_soil_Italian	Italian_None	no	no	no	yes
I.106.S	Swedish	Italian	None	Italian	Deadplant	Planted	First	Soil	8months	1	6	Italian	Changed_climate	Changed_climate_Italian	Italian_Italian	yes	no	no	no
I.110.S	Swedish	Swedish	Italian	Italian	Deadplant	Planted	Fourth	Soil	8months	3	8	Italian	Changed_soil_climate	Changed_soil_climate_Italian	Italian_Italian	yes	yes	yes	no
I.113.S	Swedish	Italian	Swedish	Italian	Deadplant	Planted	Fourth	Soil	8months	2	8	Swedish	Changed_soil	Changed_soil_Swedish	Swedish_Italian	no	yes	no	yes
