SampleID	Chamber	Soil	Wash	Genotype	Parentalline	Planted	Treatment	Fraction	Incubationtime	Replicate	Library	Microbe	Condition	Condition_microbe	Microbe_planted	Soil_Fraction	Climate_soil
ReciprocalRevision52	Swedish	Italian	none	Italian	It15	Planted	12	Soil	8months		9	Italian	Changed_climate	Changed_climate_Italian	Italian_Italian	Italian_Soil	Swedish_Italian
ReciprocalRevision53	Swedish	Italian	none	Italian	It24	Planted	12	Soil	8months		9	Italian	Changed_climate	Changed_climate_Italian	Italian_Italian	Italian_Soil	Swedish_Italian
ReciprocalRevision54	Swedish	Italian	none	Swedish	Sw11	Planted	12	Soil	8months		9	Italian	Changed_climate	Changed_climate_Italian	Italian_Swedish	Italian_Soil	Swedish_Italian
ReciprocalRevision62	Swedish	Swedish	none	Italian	It41	Planted	16	Soil	8months		9	Swedish	Control	Control_Swedish	Swedish_Italian	Swedish_Soil	Swedish_Swedish
ReciprocalRevision65	Swedish	Swedish	none	Swedish	Sw7	Planted	16	Soil	8months		9	Swedish	Control	Control_Swedish	Swedish_Swedish	Swedish_Soil	Swedish_Swedish
ReciprocalRevision68	Swedish	Swedish	none	Swedish	Sw43	Planted	16	Soil	8months		9	Swedish	Control	Control_Swedish	Swedish_Swedish	Swedish_Soil	Swedish_Swedish
ReciprocalRevision82	Italian	Italian	none	Swedish	Sw	Planted	First	Root	NA		9	Italian	Control	Control_Italian	Italian_Swedish	Italian_Root	Italian_Italian
S.114.R	Swedish	Italian	None	Swedish	Sw47	Planted	First	Root	8months	2	6	Italian	Changed_climate	Changed_climate_Italian	Italian_Swedish	Italian_Root	Swedish_Italian
S.114.S	Swedish	Italian	None	Swedish	Sw47	Planted	First	Soil	8months	2	6	Italian	Changed_climate	Changed_climate_Italian	Italian_Swedish	Italian_Soil	Swedish_Italian
S.119.S	Swedish	Swedish	None	Swedish	Deadplant	Planted	First	Soil	8months	2	7	Swedish	Control	Control_Swedish	Swedish_Swedish	Swedish_Soil	Swedish_Swedish
S.136.S	Swedish	Swedish	None	Swedish	Deadplant	Planted	First	Soil	8months	3	7	Swedish	Control	Control_Swedish	Swedish_Swedish	Swedish_Soil	Swedish_Swedish
S.159.R	Swedish	Italian	None	Swedish	Sw7	Planted	First	Root	8months	3	6	Italian	Changed_climate	Changed_climate_Italian	Italian_Swedish	Italian_Root	Swedish_Italian
S.159.S	Swedish	Italian	None	Swedish	Sw7	Planted	First	Soil	8months	3	6	Italian	Changed_climate	Changed_climate_Italian	Italian_Swedish	Italian_Soil	Swedish_Italian
S.163.R	Swedish	Italian	None	Swedish	Sw47	Planted	First	Root	8months	4	6	Italian	Changed_climate	Changed_climate_Italian	Italian_Swedish	Italian_Root	Swedish_Italian
S.163.S	Swedish	Italian	None	Swedish	Sw47	Planted	First	Soil	8months	4	6	Italian	Changed_climate	Changed_climate_Italian	Italian_Swedish	Italian_Soil	Swedish_Italian
S.25.R	Italian	Swedish	None	Swedish	Sw7	Planted	First	Root	6months	1	5	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Swedish	Swedish_Root	Italian_Swedish
S.25.S	Italian	Swedish	None	Swedish	Sw7	Planted	First	Soil	6months	1	5	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Swedish	Swedish_Soil	Italian_Swedish
S.27.R	Italian	Swedish	None	Swedish	Sw43	Planted	First	Root	6months	2	5	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Swedish	Swedish_Root	Italian_Swedish
S.27.S	Italian	Swedish	None	Swedish	Sw43	Planted	First	Soil	6months	2	5	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Swedish	Swedish_Soil	Italian_Swedish
S.33.R	Italian	Italian	None	Swedish	Sw11	Planted	First	Root	6months	1	5	Italian	Control	Control_Italian	Italian_Swedish	Italian_Root	Italian_Italian
S.33.S	Italian	Italian	None	Swedish	Sw11	Planted	First	Soil	6months	1	5	Italian	Control	Control_Italian	Italian_Swedish	Italian_Soil	Italian_Italian
S.63.R	Italian	Swedish	None	Swedish	Sw7	Planted	First	Root	6months	3	5	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Swedish	Swedish_Root	Italian_Swedish
S.63.S	Italian	Swedish	None	Swedish	Sw7	Planted	First	Soil	6months	3	5	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Swedish	Swedish_Soil	Italian_Swedish
S.70.R	Italian	Italian	None	Swedish	Sw47	Planted	First	Root	6months	2	5	Italian	Control	Control_Italian	Italian_Swedish	Italian_Root	Italian_Italian
S.70.S	Italian	Italian	None	Swedish	Sw47	Planted	First	Soil	6months	2	5	Italian	Control	Control_Italian	Italian_Swedish	Italian_Soil	Italian_Italian
S.78.R	Italian	Swedish	None	Swedish	Sw47	Planted	First	Root	6months	4	5	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Swedish	Swedish_Root	Italian_Swedish
S.78.S	Italian	Swedish	None	Swedish	Sw47	Planted	First	Soil	6months	4	5	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Swedish	Swedish_Soil	Italian_Swedish
S.86.R	Italian	Italian	None	Swedish	Sw7	Planted	First	Root	6months	3	5	Italian	Control	Control_Italian	Italian_Swedish	Italian_Root	Italian_Italian
S.86.S	Italian	Italian	None	Swedish	Sw7	Planted	First	Soil	6months	3	5	Italian	Control	Control_Italian	Italian_Swedish	Italian_Soil	Italian_Italian
S.94.R	Swedish	Italian	None	Swedish	Sw11	Planted	First	Root	8months	1	6	Italian	Changed_climate	Changed_climate_Italian	Italian_Swedish	Italian_Root	Swedish_Italian
S.94.S	Swedish	Italian	None	Swedish	Sw11	Planted	First	Soil	8months	1	6	Italian	Changed_climate	Changed_climate_Italian	Italian_Swedish	Italian_Soil	Swedish_Italian
S.99.S	Swedish	Swedish	None	Swedish	Deadplant	Planted	First	Soil	8months	1	7	Swedish	Control	Control_Swedish	Swedish_Swedish	Swedish_Soil	Swedish_Swedish
