order	SampleID	Climate	Soil	Line	Line2	Fraction	Replicate	Soil_Fraction	ChangedConditions	Climate_soil	Line_Fraction	Seq_run	Changed	ChangedClimate	ChangedGenotype	ChangedBoth	observed
58	Italy.Root.Sw.It32.1.ITS1	Italian	Swedish	Italian	Italian	Root	7	Swedish_Root	Climate_Genotype	Italian_Swedish	Italian_Root	Run1	yes	no	no	yes	0
59	Italy.Root.Sw.It32.2.ITS1	Italian	Swedish	Italian	Italian	Root	8	Swedish_Root	Climate_Genotype	Italian_Swedish	Italian_Root	Run1	yes	no	no	yes	99
60	Italy.Root.Sw.It32.3.ITS1	Italian	Swedish	Italian	Italian	Root	9	Swedish_Root	Climate_Genotype	Italian_Swedish	Italian_Root	Run1	yes	no	no	yes	101
61	Italy.Root.Sw.It41.1.ITS1	Italian	Swedish	Italian	Italian	Root	10	Swedish_Root	Climate_Genotype	Italian_Swedish	Italian_Root	Run1	yes	no	no	yes	87
62	Italy.Root.Sw.It41.2.ITS1	Italian	Swedish	Italian	Italian	Root	11	Swedish_Root	Climate_Genotype	Italian_Swedish	Italian_Root	Run1	yes	no	no	yes	124
63	Italy.Root.Sw.It41.3.ITS1	Italian	Swedish	Italian	Italian	Root	12	Swedish_Root	Climate_Genotype	Italian_Swedish	Swedish_Root	Run1	yes	no	no	yes	94
64	Italy.Root.Sw.Sw11.1.ITS1	Italian	Swedish	Swedish	Swedish	Root	1	Swedish_Root	Climate	Italian_Swedish	Swedish_Root	Run1	yes	yes	no	no	70
65	Italy.Root.Sw.Sw11.2.ITS1	Italian	Swedish	Swedish	Swedish	Root	2	Swedish_Root	Climate	Italian_Swedish	Swedish_Root	Run1	yes	yes	no	no	0
66	Italy.Root.Sw.Sw11.3.ITS1	Italian	Swedish	Swedish	Swedish	Root	3	Swedish_Root	Climate	Italian_Swedish	Swedish_Root	Run1	yes	yes	no	no	87
67	Italy.Root.Sw.Sw43.1.ITS1	Italian	Swedish	Swedish	Swedish	Root	4	Swedish_Root	Climate	Italian_Swedish	Swedish_Root	Run1	yes	yes	no	no	87
68	Italy.Root.Sw.Sw43.2.ITS1	Italian	Swedish	Swedish	Swedish	Root	5	Swedish_Root	Climate	Italian_Swedish	Swedish_Root	Run1	yes	yes	no	no	52
69	Italy.Root.Sw.Sw43.3.ITS1	Italian	Swedish	Swedish	Swedish	Root	6	Swedish_Root	Climate	Italian_Swedish	Swedish_Root	Run1	yes	yes	no	no	46
70	Italy.Root.Sw.Sw47.1.ITS1	Italian	Swedish	Swedish	Swedish	Root	7	Swedish_Root	Climate	Italian_Swedish	Swedish_Root	Run1	yes	yes	no	no	96
71	Italy.Root.Sw.Sw47.2.ITS1	Italian	Swedish	Swedish	Swedish	Root	8	Swedish_Root	Climate	Italian_Swedish	Swedish_Root	Run1	yes	yes	no	no	64
72	Italy.Root.Sw.Sw47.3.ITS1	Italian	Swedish	Swedish	Swedish	Root	9	Swedish_Root	Climate	Italian_Swedish	Swedish_Root	Run1	yes	yes	no	no	66
73	Italy.Root.Sw.Sw7.1.ITS1	Italian	Swedish	Swedish	Swedish	Root	10	Swedish_Root	Climate	Italian_Swedish	Swedish_Root	Run1	yes	yes	no	no	67
74	Italy.Root.Sw.Sw7.2.ITS1	Italian	Swedish	Swedish	Swedish	Root	11	Swedish_Root	Climate	Italian_Swedish	Swedish_Root	Run1	yes	yes	no	no	50
75	Italy.Root.Sw.Sw7.3.ITS1	Italian	Swedish	Swedish	Swedish	Root	12	Swedish_Root	Climate	Italian_Swedish	Swedish_Root	Run1	yes	yes	no	no	56
25	Italy.Soil.It.It15.1.ITS1	Italian	Italian	Italian	Italian	Soil	1	Italian_Soil	Control	Italian_Italian	Italian_Soil	Run1	no	no	no	no	138
26	Italy.Soil.It.It15.2.ITS1	Italian	Italian	Italian	Italian	Soil	2	Italian_Soil	Control	Italian_Italian	Italian_Soil	Run1	no	no	no	no	206
27	Italy.Soil.It.It15.3.ITS1	Italian	Italian	Italian	Italian	Soil	3	Italian_Soil	Control	Italian_Italian	Italian_Soil	Run1	no	no	no	no	206
28	Italy.Soil.It.It24.1.ITS1	Italian	Italian	Italian	Italian	Soil	4	Italian_Soil	Control	Italian_Italian	Italian_Soil	Run1	no	no	no	no	223
29	Italy.Soil.It.It24.2.ITS1	Italian	Italian	Italian	Italian	Soil	5	Italian_Soil	Control	Italian_Italian	Italian_Soil	Run1	no	no	no	no	183
30	Italy.Soil.It.It24.3.ITS1	Italian	Italian	Italian	Italian	Soil	6	Italian_Soil	Control	Italian_Italian	Italian_Soil	Run1	no	no	no	no	130
31	Italy.Soil.It.It32.1.ITS1	Italian	Italian	Italian	Italian	Soil	7	Italian_Soil	Control	Italian_Italian	Italian_Soil	Run1	no	no	no	no	148
32	Italy.Soil.It.It32.2.ITS1	Italian	Italian	Italian	Italian	Soil	8	Italian_Soil	Control	Italian_Italian	Italian_Soil	Run1	no	no	no	no	108
33	Italy.Soil.It.It32.3.ITS1	Italian	Italian	Italian	Italian	Soil	9	Italian_Soil	Control	Italian_Italian	Italian_Soil	Run1	no	no	no	no	158
34	Italy.Soil.It.It41.1.ITS1	Italian	Italian	Italian	Italian	Soil	10	Italian_Soil	Control	Italian_Italian	Italian_Soil	Run1	no	no	no	no	175
35	Italy.Soil.It.It41.2.ITS1	Italian	Italian	Italian	Italian	Soil	11	Italian_Soil	Control	Italian_Italian	Italian_Soil	Run1	no	no	no	no	143
