order	SampleID	Observed_otus	Climate	Soil	Line	Line2	Fraction	Parentalline	Replicate	ChangedConditions	Soil_line	Climate_soil	Line_Fraction	Soil_Fraction	Seq_run	Changed	ChangedClimate	ChangedGenotype	ChangedBoth	observed
112	Sweden.Root.It.Sw.4.V5	96	Swedish	Italian	Swedish	Swedish	Root	Swedish	4	Climate_Genotype	Italian_Swedish	Swedish_Italian	Swedish_Root	Italian_Root	Run2	yes	no	no	yes	197
113	Sweden.Root.It.Sw.5.V5	97	Swedish	Italian	Swedish	Swedish	Root	Swedish	5	Climate_Genotype	Italian_Swedish	Swedish_Italian	Swedish_Root	Italian_Root	Run2	yes	no	no	yes	204
114	Sweden.Root.It.Sw.6.V5	114	Swedish	Italian	Swedish	Swedish	Root	Swedish	6	Climate_Genotype	Italian_Swedish	Swedish_Italian	Swedish_Root	Italian_Root	Run2	yes	no	no	yes	251
130	Sweden.Root.Sw.Sw.1.V5	136	Swedish	Swedish	Swedish	Swedish	Root	Swedish	7	Control	Swedish_Swedish	Swedish_Swedish	Swedish_Root	Swedish_Root	Run2	no	no	no	no	240
131	Sweden.Root.Sw.Sw.2.V5	76	Swedish	Swedish	Swedish	Swedish	Root	Swedish	8	Control	Swedish_Swedish	Swedish_Swedish	Swedish_Root	Swedish_Root	Run2	no	no	no	no	154
132	Sweden.Root.Sw.Sw.3.V5	114	Swedish	Swedish	Swedish	Swedish	Root	Swedish	9	Control	Swedish_Swedish	Swedish_Swedish	Swedish_Root	Swedish_Root	Run2	no	no	no	no	237
133	Sweden.Root.Sw.Sw.4.V5	117	Swedish	Swedish	Swedish	Swedish	Root	Swedish	10	Control	Swedish_Swedish	Swedish_Swedish	Swedish_Root	Swedish_Root	Run2	no	no	no	no	221
134	Sweden.Root.Sw.Sw.5.V5	119	Swedish	Swedish	Swedish	Swedish	Root	Swedish	11	Control	Swedish_Swedish	Swedish_Swedish	Swedish_Root	Swedish_Root	Run2	no	no	no	no	238
135	Sweden.Root.Sw.Sw.6.V5	109	Swedish	Swedish	Swedish	Swedish	Root	Swedish	12	Control	Swedish_Swedish	Swedish_Swedish	Swedish_Root	Swedish_Root	Run2	no	no	no	no	214
115	Sweden.Soil.It.Sw.1.V5	234	Swedish	Italian	Swedish	Swedish	Soil	Swedish	1	Climate_Genotype	Italian_Swedish	Swedish_Italian	Swedish_Soil	Italian_Soil	Run2	yes	no	no	yes	420
