order	SampleID	Observed_otus	Climate	Soil	Line	Line2	Fraction	Parentalline	Replicate	ChangedConditions	Soil_line	Climate_soil	Line_Fraction	Soil_Fraction	Seq_run	Changed	ChangedClimate	ChangedGenotype	ChangedBoth	observed
45	Italy.Soil.It.Sw47.3.V5	216	Italian	Italian	Swedish	Swedish	Soil	Sw47	9	Genotype	Italian_Swedish	Italian_Italian	Swedish_Soil	Italian_Soil	Run1	yes	no	yes	no	412
46	Italy.Soil.It.Sw7.1.V5	257	Italian	Italian	Swedish	Swedish	Soil	Sw7	10	Genotype	Italian_Swedish	Italian_Italian	Swedish_Soil	Italian_Soil	Run1	yes	no	yes	no	499
47	Italy.Soil.It.Sw7.2.V5	240	Italian	Italian	Swedish	Swedish	Soil	Sw7	11	Genotype	Italian_Swedish	Italian_Italian	Swedish_Soil	Italian_Soil	Run1	yes	no	yes	no	486
48	Italy.Soil.It.Sw7.3.V5	235	Italian	Italian	Swedish	Swedish	Soil	Sw7	12	Genotype	Italian_Swedish	Italian_Italian	Swedish_Soil	Italian_Soil	Run1	yes	no	yes	no	450
76	Italy.Soil.Sw.It15.1.V5	194	Italian	Swedish	Italian	Italian	Soil	It15	1	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Soil	Swedish_Soil	Run1	yes	no	no	yes	391
77	Italy.Soil.Sw.It15.2.V5	189	Italian	Swedish	Italian	Italian	Soil	It15	2	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Soil	Swedish_Soil	Run1	yes	no	no	yes	406
78	Italy.Soil.Sw.It15.3.V5	183	Italian	Swedish	Italian	Italian	Soil	It15	3	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Soil	Swedish_Soil	Run1	yes	no	no	yes	387
79	Italy.Soil.Sw.It24.1.V5	172	Italian	Swedish	Italian	Italian	Soil	It24	4	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Soil	Swedish_Soil	Run1	yes	no	no	yes	366
80	Italy.Soil.Sw.It24.2.V5	172	Italian	Swedish	Italian	Italian	Soil	It24	5	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Soil	Swedish_Soil	Run1	yes	no	no	yes	375
81	Italy.Soil.Sw.It24.3.V5	176	Italian	Swedish	Italian	Italian	Soil	It24	6	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Soil	Swedish_Soil	Run1	yes	no	no	yes	408
82	Italy.Soil.Sw.It32.1.V5	182	Italian	Swedish	Italian	Italian	Soil	It32	7	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Soil	Swedish_Soil	Run1	yes	no	no	yes	401
83	Italy.Soil.Sw.It32.2.V5	197	Italian	Swedish	Italian	Italian	Soil	It32	8	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Soil	Swedish_Soil	Run1	yes	no	no	yes	396
84	Italy.Soil.Sw.It32.3.V5	195	Italian	Swedish	Italian	Italian	Soil	It32	9	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Soil	Swedish_Soil	Run1	yes	no	no	yes	382
85	Italy.Soil.Sw.It41.1.V5	194	Italian	Swedish	Italian	Italian	Soil	It41	10	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Soil	Swedish_Soil	Run1	yes	no	no	yes	367
86	Italy.Soil.Sw.It41.2.V5	177	Italian	Swedish	Italian	Italian	Soil	It41	11	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Soil	Swedish_Soil	Run1	yes	no	no	yes	377
87	Italy.Soil.Sw.It41.3.V5	195	Italian	Swedish	Italian	Italian	Soil	It41	12	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Soil	Swedish_Soil	Run1	yes	no	no	yes	391
88	Italy.Soil.Sw.Sw11.1.V5	192	Italian	Swedish	Swedish	Swedish	Soil	Sw11	1	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Soil	Swedish_Soil	Run1	yes	yes	no	no	415
89	Italy.Soil.Sw.Sw11.2.V5	189	Italian	Swedish	Swedish	Swedish	Soil	Sw11	2	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Soil	Swedish_Soil	Run1	yes	yes	no	no	394
90	Italy.Soil.Sw.Sw11.3.V5	201	Italian	Swedish	Swedish	Swedish	Soil	Sw11	3	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Soil	Swedish_Soil	Run1	yes	yes	no	no	410
91	Italy.Soil.Sw.Sw43.1.V5	200	Italian	Swedish	Swedish	Swedish	Soil	Sw43	4	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Soil	Swedish_Soil	Run1	yes	yes	no	no	420
92	Italy.Soil.Sw.Sw43.2.V5	199	Italian	Swedish	Swedish	Swedish	Soil	Sw43	5	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Soil	Swedish_Soil	Run1	yes	yes	no	no	394
93	Italy.Soil.Sw.Sw43.3.V5	180	Italian	Swedish	Swedish	Swedish	Soil	Sw43	6	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Soil	Swedish_Soil	Run1	yes	yes	no	no	378
94	Italy.Soil.Sw.Sw47.1.V5	185	Italian	Swedish	Swedish	Swedish	Soil	Sw47	7	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Soil	Swedish_Soil	Run1	yes	yes	no	no	391
95	Italy.Soil.Sw.Sw47.2.V5	196	Italian	Swedish	Swedish	Swedish	Soil	Sw47	8	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Soil	Swedish_Soil	Run1	yes	yes	no	no	391
