ASV	Sample	value	Condition	Phylum	Microbe
600c0240058f41079f95b6bad1a7345f	I.175.S	0	Repopulated	p__Ascomycota	Swedish
ba514a920775ab30d99b4faa14e62a0d	I.175.S	0	Repopulated	p__Mortierellomycota	Swedish
6f00d69887f47ef60560cf9b4bec6eee	I.175.S	0	Repopulated	p__Mortierellomycota	Swedish
baea88a71e00ef56ad86f81a931aceca	I.175.S	0	Repopulated	p__Ascomycota	Swedish
e31cc9ca6084798e4bab946b3c92a3d4	I.175.S	0	Repopulated	p__Ascomycota	Swedish
b93271b97699bdbf400e0eb32b000a45	I.175.S	0	Repopulated	p__Ascomycota	Swedish
b02e06eb02537fef1386fd8633e0d49a	I.175.S	0	Repopulated	p__Ascomycota	Swedish
77e8ce311f64d12b8eef46b8a79f166d	I.175.S	0	Repopulated	p__Basidiomycota	Swedish
ba14b83d3509898c8d33ee1642f84354	I.175.S	0	Repopulated	p__Ascomycota	Swedish
fac4e3ff623eae5ebacaf738d7c14c3d	I.175.S	0	Repopulated	p__Ascomycota	Swedish
e8f6a447b2d4adce7603c59d71f38404	I.175.S	0	Repopulated	p__Ascomycota	Swedish
89d3e068738cfef2858feacca7eddbaa	I.175.S	0	Repopulated	p__Ascomycota	Swedish
917d93217272ff18a847ae06f04c732a	I.175.S	0	Repopulated	p__Ascomycota	Swedish
7297511ec76f118be0f9753de8d817a9	I.175.S	0	Repopulated	p__Ascomycota	Swedish
8a3eaa5f957eb0704cb2ad7d4c583e10	I.175.S	0	Repopulated	p__Ascomycota	Swedish
b5daf8b2d313f578f61206a44946df43	I.175.S	0	Repopulated	p__Zoopagomycota	Swedish
87c664299eaba3d3ca498e7e85398b07	I.175.S	0	Repopulated	p__Ascomycota	Swedish
65ad4f5f4900ac8b4e08532854cada46	I.175.S	0	Repopulated	p__Mortierellomycota	Swedish
4f982847195ab67f4210df0afaf75069	I.175.S	0	Repopulated	p__Ascomycota	Swedish
be06f6343187772abaef0ed407dcf88c	I.175.S	0	Repopulated	p__Ascomycota	Swedish
a3d1b8f6407f5afd78fa253a1c80e42a	I.175.S	0	Repopulated	p__Ascomycota	Swedish
8b323ad1b3e539f3683651c168c3da7c	I.175.S	0	Repopulated	p__Ascomycota	Swedish
